epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
154,15016.7,0.88375,0.86088,1.46481,0.8364,0.76203,0.84215,0.56635,1.11008,0.9684,1.68093,0.000489452,0.000489452,0.000489452
155,15114,0.88124,0.82209,1.45935,0.85338,0.77507,0.86345,0.58544,1.07268,0.91355,1.64058,0.000484272,0.000484272,0.000484272
156,15211.3,0.88632,0.85685,1.47675,0.8369,0.73701,0.8419,0.56824,1.1054,0.97484,1.6846,0.000479094,0.000479094,0.000479094
157,15308.4,0.88958,0.84888,1.4678,0.80413,0.79133,0.8421,0.55996,1.11616,0.92452,1.69789,0.000473919,0.000473919,0.000473919
158,15405.6,0.91778,0.84234,1.48379,0.76714,0.81843,0.85309,0.566,1.10501,0.89779,1.66856,0.000468747,0.000468747,0.000468747
159,15502.9,0.90904,0.85193,1.49441,0.83293,0.75661,0.83822,0.55825,1.11899,0.92125,1.70501,0.000463579,0.000463579,0.000463579
160,15600.3,0.89289,0.8402,1.48792,0.85227,0.75044,0.85358,0.57299,1.10361,0.90007,1.70191,0.000458416,0.000458416,0.000458416
161,15697.8,0.84958,0.7983,1.43841,0.79515,0.78049,0.82976,0.55747,1.09386,0.92939,1.67951,0.000453258,0.000453258,0.000453258
162,15795.3,0.879,0.83171,1.46062,0.83414,0.7905,0.84952,0.56777,1.09597,0.90884,1.67729,0.000448106,0.000448106,0.000448106
163,15892.4,0.87623,0.82406,1.45862,0.84698,0.765,0.83624,0.55609,1.10473,0.94658,1.71162,0.00044296,0.00044296,0.00044296
164,15989.7,0.87615,0.8303,1.45222,0.86213,0.74526,0.84616,0.57263,1.09717,0.89241,1.67853,0.000437821,0.000437821,0.000437821
165,16086.9,0.86468,0.80071,1.45483,0.85969,0.78049,0.85071,0.57448,1.09443,0.88758,1.69578,0.000432689,0.000432689,0.000432689
166,16184.1,0.86672,0.81985,1.44863,0.82973,0.78049,0.85087,0.57982,1.04997,0.87548,1.63684,0.000427565,0.000427565,0.000427565
167,16281.4,0.88353,0.8514,1.46396,0.84885,0.77236,0.85983,0.56731,1.10863,0.90457,1.6689,0.000422449,0.000422449,0.000422449
168,16378.5,0.85777,0.81044,1.45166,0.82262,0.7832,0.84919,0.58449,1.06965,0.92339,1.68385,0.000417343,0.000417343,0.000417343
169,16475.7,0.84903,0.79356,1.42532,0.8704,0.77778,0.85326,0.56423,1.09604,0.90869,1.68604,0.000412246,0.000412246,0.000412246
170,16572.9,0.86238,0.79578,1.44844,0.87191,0.75635,0.85753,0.56734,1.09179,0.90835,1.69345,0.00040716,0.00040716,0.00040716
171,16670.1,0.84729,0.79433,1.42978,0.84876,0.76041,0.83953,0.55839,1.08451,0.91373,1.66562,0.000402084,0.000402084,0.000402084
172,16767.3,0.84758,0.80407,1.43711,0.86034,0.78464,0.85983,0.58043,1.06833,0.88607,1.66063,0.000397019,0.000397019,0.000397019
173,16864.7,0.87352,0.81537,1.46338,0.81709,0.81843,0.85359,0.57865,1.09181,0.91763,1.68441,0.000391966,0.000391966,0.000391966
174,16962,0.82148,0.77446,1.40792,0.80313,0.81301,0.83375,0.56794,1.0669,0.9342,1.66066,0.000386926,0.000386926,0.000386926
175,17059.1,0.82218,0.78978,1.40964,0.80759,0.7621,0.83961,0.571,1.07894,0.92005,1.68087,0.000381899,0.000381899,0.000381899
176,17156.5,0.81768,0.76748,1.40476,0.84455,0.76694,0.83938,0.56847,1.10216,0.91559,1.6743,0.000376885,0.000376885,0.000376885
